reel_url,timestamp
?s=single_unit&__cft__[0]=AZW5QW_HCj2rpUE5KvCeKpGilRBwVrdwCtu2q_DrSLMYMBJYWVxsdGvWeHqLtYoLmkIGjzi9WQkKEe7-YopbdnFXw2Ol42eGhxGGvQG8mTO6sFL4A87N9dJv6s1mG5uTOHCoFlpuBZlXbJSFkp2EDrEx_0dCV9hf0iSfTwtxaMrJ7A&__tn__=H-R,2025-08-04T18:53:59.150312
?s=single_unit&__cft__[0]=AZXtQ0VhE0OVETjWsamWWWJB7kRDFeFioQP_82baDy0uK4ri2nH_dMPX-z11PcLJz2XPU1AO90ztdmrMjnRavvouEiEBmyiQQRA34BeSaK7m-0SvagzOFYJZfQDXEQrQN1cr6bi1VldgQdkRijz8d6if21QTgKmCcSkf68FtKr825w&__tn__=H-R,2025-08-04T18:54:01.158314
?s=single_unit&__cft__[0]=AZWqDrBJO_CzxeBQ-CBpdzOk5ZSHVjuH40mqAC-EjEqpFcvGstVmXO_P9fo9PACwigv2D47W3nlWnQKlLyLD1McAS4O_Kabj2pG7lGNELSyv4svPbdP1XM_jZQ4gQrILSsnUbfAGUeg6BOpwbAoSVcCg5O5l0Nv0Kj_ihI_g7tXeFA&__tn__=H-R,2025-08-04T18:54:03.172873
https://www.facebook.com/reel/1072259897826982/?s=single_unit&__cft__[0]=AZVgLY7CvWDLE7GA1qz5zZGnI6Rl3tM8W0xRnExzn3QeK82_p-MnMTtWvhv5LF22sZsC1vMm0Tb5UJXnofkblQcpgVeb5yU16zzXigVXOv7F0vd_trKnMzISMW8D7y6K7xoKnA9XZtCUm8quouvc8kzM5devEmDOTqkBwCKx7FGk0bPlpTSF19RY0YgXvNjWHzCwULn97sKB6C_bvlrs1QDV&__tn__=H-R,2025-08-05T01:30:59.700133
https://www.facebook.com/reel/604060751982230/?s=single_unit&__cft__[0]=AZVAc8o3xR8vCvxxt4N7WYFm1owUgDw2N-QmPolQ0GhiX63GiyDh6FQqHVDpEsrGi6zcLCHwXIO9dgUY2CcLcOQ4B5dbhiRnPxZEGRej52jM0daIxD7rsXD_zzoEWt-jnTX1-XzjbZdUabaCfBHgzy8D1lgmOmrqJlqNbwNDcD_F5zkedKRwk3nOod0ad8zdTXQVgCZ2genoCDChZ3HuAsR_&__tn__=H-R,2025-08-05T01:31:01.704032
